customer_id,name,email,city,
66,Wridesh Batra,user66@gmail.com,Pune,
67,Advik Korpal,user67@gmail.com,Bangalore,
68,Ikshita Tata,user68@gmail.com,Pune,
69,Vidhi Halder,user69@gmail.com,Pune,
70,Nandini Bhagat,user70@gmail.com,Chennai,
71,Liam Char,user71@gmail.com,Hyderabad,
72,William Bose,user72@gmail.com,Mumbai,
73,Yagnesh Pandya,user73@gmail.com,Lucknow,
74,Frado Tiwari,user74@gmail.com,Bangalore,
75,Vihaan Chada,user75@gmail.com,Jaipur,
76,Chandran Ratti,user76@gmail.com,Chennai,
77,Panini Sundaram,user77@gmail.com,Bangalore,
78,Alka Menon,user78@gmail.com,Ahmedabad,
79,Rohan Suri,user79@gmail.com,Kolkata,
80,Aarav Virk,user80@gmail.com,Hyderabad,
81,Chaaya Bera,user81@gmail.com,Jaipur,
82,Girish Sahota,user82@gmail.com,Chennai,
83,Sanaya Mannan,user83@gmail.com,Pune,
84,Anmol Sarna,user84@gmail.com,Delhi,
85,Ishwar Sarin,user85@gmail.com,Chennai,
86,Ayush Rao,user86@gmail.com,Delhi,
87,Ira Oommen,user87@gmail.com,Pune,
88,Azaan Contractor,user88@gmail.com,Kolkata,
89,Aditya Mannan,user89@gmail.com,Hyderabad,
90,Sarthak Khare,user90@gmail.com,Mumbai,
91,Udarsh Brahmbhatt,user91@gmail.com,Chennai,
92,Peter Ray,user92@gmail.com,Lucknow,
93,Kevin Bassi,user93@gmail.com,Pune,
94,Warda Thakkar,user94@gmail.com,Chennai,
95,Tanvi Narasimhan,user95@gmail.com,Ahmedabad,
96,Oscar Sankaran,user96@gmail.com,Kolkata,
97,Damyanti Nagi,user97@gmail.com,Ahmedabad,
98,Alka Pillay,user98@gmail.com,Bangalore,
99,Dalbir Gala,user99@gmail.com,Hyderabad,
100,Andrew Tailor,user100@gmail.com,Bangalore,
101,Lopa Deep,user101@gmail.com,Chennai,
102,Nathan Grover,user102@gmail.com,Jaipur,
103,Chandran Tak,user103@gmail.com,Jaipur,
104,Jeremiah Sathe,user104@gmail.com,Hyderabad,
105,Amaira Nayak,user105@gmail.com,Lucknow,
106,Ekavir Kale,user106@gmail.com,Kolkata,
107,Hritik Nagarajan,user107@gmail.com,Lucknow,
108,Devika Ahuja,user108@gmail.com,Kolkata,
109,Siya Shah,user109@gmail.com,Pune,
110,Agastya Bail,user110@gmail.com,Chennai,
111,Siya Yohannan,user111@gmail.com,Bangalore,
112,Jack Ahuja,user112@gmail.com,Jaipur,
113,Qabil Desai,user113@gmail.com,Ahmedabad,
114,Mohini Khalsa,user114@gmail.com,Mumbai,
115,Niharika Bir,user115@gmail.com,Delhi,
116,Dayita Kala,user116@gmail.com,Mumbai,
117,Netra Shan,user117@gmail.com,Bangalore,
118,Yuvraj Kadakia,user118@gmail.com,Bangalore,
119,Pahal Saini,user119@gmail.com,Kolkata,
120,Charvi Sen,user120@gmail.com,Lucknow,
121,Abha Tripathi,user121@gmail.com,Mumbai,
122,Hredhaan Buch,user122@gmail.com,Kolkata,
123,Yashawini Parikh,user123@gmail.com,Kolkata,
124,Aadi Bhatia,user124@gmail.com,Lucknow,
125,Devika Kade,user125@gmail.com,Ahmedabad,
126,Riya Sidhu,user126@gmail.com,Jaipur,
127,Wakeeta De,user127@gmail.com,Hyderabad,
128,Xiti Sankar,user128@gmail.com,Jaipur,
129,Yash Dhaliwal,user129@gmail.com,Delhi,
130,Bakhshi Sachdev,user130@gmail.com,Mumbai,
131,Agastya Pandey,user131@gmail.com,Jaipur,
132,Manan Dora,user132@gmail.com,Hyderabad,
133,Eshana Taneja,user133@gmail.com,Pune,
134,Yashasvi Mann,user134@gmail.com,Mumbai,
135,Kashish Joshi,user135@gmail.com,Hyderabad,
136,Warda Choudhary,user136@gmail.com,Kolkata,
137,Utkarsh Gulati,user137@gmail.com,Bangalore,
138,Raghav Walia,user138@gmail.com,Ahmedabad,
139,Yoshita Sani,user139@gmail.com,Delhi,
140,Kamya Aurora,user140@gmail.com,Hyderabad,
141,Wriddhish Bhat,user141@gmail.com,Jaipur,
142,Max Sarkar,user142@gmail.com,Bangalore,
143,Sara Dar,user143@gmail.com,Jaipur,
144,Nakul Dara,user144@gmail.com,Mumbai,
145,Yochana Bahri,user145@gmail.com,Hyderabad,
146,Pooja Mani,user146@gmail.com,Jaipur,
147,Libni Lanka,user147@gmail.com,Lucknow,
148,Gautam Sachar,user148@gmail.com,Chennai,
149,Lakshmi Chokshi,user149@gmail.com,Bangalore,
150,Chakrika Dar,user150@gmail.com,Pune,
151,Mitali Dara,user151@gmail.com,Bangalore,
152,Krisha Bahri,user152@gmail.com,Jaipur,
153,Adweta Narang,user153@gmail.com,Jaipur,
154,Harshil Shenoy,user154@gmail.com,Delhi,
155,Baljiwan Kanda,user155@gmail.com,Lucknow,
156,Rayaan Dhaliwal,user156@gmail.com,Pune,
157,Saksham Goel,user157@gmail.com,Ahmedabad,
158,Faqid Mital,user158@gmail.com,Delhi,
159,Ganga Karnik,user159@gmail.com,Mumbai,
160,Vedika Sastry,user160@gmail.com,Pune,
161,Isha Ramakrishnan,user161@gmail.com,Hyderabad,
162,Yatan Srinivas,user162@gmail.com,Chennai,
163,Balvan Sankar,user163@gmail.com,Delhi,
164,Xalak Ganesh,user164@gmail.com,Chennai,
165,Pavani D’Alia,user165@gmail.com,Lucknow,
166,Inaya Sem,user166@gmail.com,Mumbai,
167,Aradhana Dyal,user167@gmail.com,Mumbai,
168,Panini Sen,user168@gmail.com,Ahmedabad,
169,Ayush Jani,user169@gmail.com,Mumbai,
170,Chatresh Joshi,user170@gmail.com,Jaipur,
171,Wahab Sarkar,user171@gmail.com,Bangalore,
172,Zashil Tata,user172@gmail.com,Bangalore,
173,Ayushman Issac,user173@gmail.com,Ahmedabad,
174,Vivaan Ram,user174@gmail.com,Jaipur,
175,Rudra Murty,user175@gmail.com,Bangalore,
176,Januja Goda,user176@gmail.com,Hyderabad,
177,Vrinda Rai,user177@gmail.com,Jaipur,
178,Raghav Joshi,user178@gmail.com,Lucknow,
179,Caleb Dara,user179@gmail.com,Kolkata,
180,Ranveer Gopal,user180@gmail.com,Chennai,
181,Odika Mishra,user181@gmail.com,Jaipur,
182,Bhavika Dugal,user182@gmail.com,Chennai,
183,Abdul Shukla,user183@gmail.com,Hyderabad,
184,William Palla,user184@gmail.com,Kolkata,
185,Chavvi Konda,user185@gmail.com,Pune,
186,Yashawini Dave,user186@gmail.com,Ahmedabad,
187,Qushi Mahajan,user187@gmail.com,Jaipur,
188,Aarnav Sane,user188@gmail.com,Ahmedabad,
189,Neelima Devan,user189@gmail.com,Mumbai,
190,Vasudha Palla,user190@gmail.com,Chennai,
191,Liam Munshi,user191@gmail.com,Chennai,
192,Samarth Sen,user192@gmail.com,Mumbai,
193,Triveni Kumer,user193@gmail.com,Pune,
194,Keya Shetty,user194@gmail.com,Delhi,
195,Turvi Manne,user195@gmail.com,Lucknow,
196,Nisha Chauhan,user196@gmail.com,Jaipur,
197,Rohan Mohanty,user197@gmail.com,Chennai,
198,Nidhi Vig,user198@gmail.com,Lucknow,
199,Tarak Kant,user199@gmail.com,Chennai,
200,Chanchal Bhalla,user200@gmail.com,Delhi,
